"9Online","9District","9Age","9Income","9Tenure","9Profit","0Profit"
0,1100,7,6,10.08,-69,-71
1,1200,6,6,6.5,-131,-58
0,1200,7,9,33.5,-141,10
0,1300,4,6,10.25,-48,-63
0,1200,4,6,8.83,-66,39
0,1300,4,1,5.5,-6,236
0,1200,NA,NA,5.08,-65,-29
0,1200,4,9,21.41,318,327
0,1200,4,4,10.66,768,725
0,1200,NA,NA,5.91,-24,-17
0,1200,2,4,7.5,19,NA
0,1100,3,6,6.75,208,44
0,1200,5,7,6.83,-83,NA
0,1200,NA,NA,24,36,47
0,1100,7,3,20.58,295,61
0,1200,NA,NA,2,10,NA
0,1200,4,3,5.58,46,506
0,1200,NA,NA,12.66,671,262
0,1200,4,8,21.08,56,113
0,1200,5,9,20.83,865,811
0,1200,3,1,4.16,-29,-99
0,1300,NA,NA,3.5,13,NA
0,1200,2,4,9.41,218,8
0,1200,NA,NA,7.58,94,NA
0,1200,7,1,1.91,-82,-58
0,1200,3,1,3.75,-134,NA
0,1200,5,7,4.58,-2,-2
0,1300,3,2,6.41,-3,8
0,1200,3,6,7.5,-45,-5
1,1200,2,7,4.41,-191,-74
0,1200,5,6,6.75,66,53
0,1200,NA,NA,8.16,47,136
0,1200,NA,NA,6.5,10,180
0,1200,NA,NA,5.41,0,-21
0,1200,6,7,41.16,396,450
0,1200,1,2,13.91,53,75
0,1200,3,6,2.75,96,124
0,1200,4,9,14.25,-25,-19
1,1200,3,3,1.91,-27,-29
0,1200,4,7,17.5,301,378
0,1300,7,4,37.41,475,397
0,1200,NA,NA,3.16,-7,NA
0,1100,4,4,22.25,121,34
0,1300,NA,NA,5.33,175,NA
0,1200,4,6,9.25,32,268
0,1200,3,6,4.5,-6,-32
0,1200,NA,NA,6.08,110,NA
0,1200,4,6,4.08,-54,38
0,1200,2,6,10.08,-118,-114
0,1200,2,NA,1.33,13,NA
1,1200,3,6,8.91,284,196
0,1300,3,8,5.91,79,NA
0,1300,NA,NA,1.5,-20,NA
0,1200,NA,NA,3,-91,-112
0,1200,NA,NA,8.25,52,51
0,1200,NA,NA,10.16,198,88
1,1200,2,9,3.66,565,1198
0,1200,5,6,26.75,23,167
0,1200,3,7,5.91,-60,-60
0,1300,NA,NA,11.58,-33,-34
0,1200,NA,NA,1,-9,NA
0,1200,NA,NA,4.41,-19,NA
0,1200,6,3,25.83,439,640
0,1200,6,6,30.08,167,238
0,1200,6,3,2.16,-63,-64
0,1200,6,6,5.41,-25,-29
0,1200,NA,NA,6.16,338,NA
0,1200,4,6,7,78,109
0,1300,2,5,4,459,394
0,1300,NA,NA,11.25,-52,-69
0,1200,NA,NA,2.75,136,-28
0,1200,3,7,7.08,16,NA
0,1200,NA,7,9.08,-68,-36
0,1200,NA,NA,7.91,441,NA
0,1200,7,6,14.33,263,119
0,1200,5,5,3.58,-59,-55
0,1200,3,5,1,69,28
0,1200,3,8,4.25,-25,-26
0,1200,4,9,15.41,639,221
0,1200,3,6,13.58,896,678
0,1200,NA,NA,3.66,-58,NA
0,1200,2,6,5.16,642,379
0,1100,5,1,20.41,-37,129
0,1200,NA,NA,3.75,-28,NA
0,1100,NA,NA,29.25,136,NA
0,1300,4,1,5.08,49,162
0,1200,NA,NA,0.16,10,NA
1,1200,NA,NA,13.83,-120,75
0,1200,NA,2,7.08,-80,-62
1,1200,7,3,26.41,498,365
0,1200,3,6,0.75,402,394
0,1200,5,5,3.75,439,NA
0,1200,7,3,2.33,308,205
0,1200,5,5,10.5,0,-30
1,1200,3,7,1.41,-19,-83
1,1200,NA,NA,19.5,283,403
0,1200,2,7,10.08,92,88
0,1200,4,5,21.41,14,38
0,1200,7,2,8.91,177,210
0,1200,2,9,5.08,14,-82
1,1200,3,6,3.66,-40,NA
0,1200,3,8,5,216,2726
0,1100,NA,NA,4.5,-107,-133
0,1300,2,6,6.58,-37,3
0,1200,3,1,2.41,33,7
0,1200,NA,NA,17.66,22,252
0,1200,4,7,9.75,-65,-72
1,1300,4,5,13.16,-17,34
0,1200,NA,NA,4.33,-26,NA
0,1200,2,8,4.91,126,168
0,1200,4,6,14.91,382,368
0,1100,5,3,22.5,5,-3
0,1200,2,6,7.75,-88,-171
0,1200,7,2,15.16,204,337
0,1200,5,5,5,170,81
0,1200,5,4,20.58,-24,-9
0,1300,NA,NA,2.91,-24,NA
0,1200,5,9,30.08,273,315
0,1200,4,6,3.5,404,278
1,1300,4,6,4.5,-10,447
0,1200,7,1,18.16,98,111
0,1300,3,7,1.91,11,131
0,1200,7,9,27.25,-17,-36
0,1100,1,7,2.75,1,NA
1,1200,4,6,11.08,-179,-189
1,1200,NA,NA,4.91,0,-24
0,1200,2,1,5.16,-33,NA
1,1200,4,3,18.25,746,799
0,1200,NA,NA,13.66,175,13
0,1200,2,6,5.75,-110,-98
0,1200,7,6,22.08,7,86
0,1200,7,1,16.16,259,293
0,1200,NA,NA,5.33,44,47
0,1200,4,5,25.33,160,NA
0,1200,NA,NA,16.58,246,NA
0,1200,7,5,8.25,73,164
0,1200,3,4,4.58,-78,-37
0,1200,4,6,4.16,177,62
0,1100,NA,NA,4.5,13,-23
0,1200,NA,NA,12,-1,83
0,1200,NA,NA,4.66,401,215
0,1200,4,6,5.25,335,315
0,1200,NA,NA,9.16,-109,NA
0,1200,6,4,26.91,1088,1162
1,1200,2,NA,5.08,-30,-29
0,1200,4,6,15.33,-10,0
0,1300,7,7,9,400,402
0,1200,2,3,11.41,285,143
0,1300,NA,NA,4.41,165,NA
0,1200,3,NA,2.25,128,395
1,1200,2,6,0.5,-27,NA
0,1200,3,7,1.5,-48,-7
0,1200,4,9,21.83,1517,1470
0,1200,7,3,9.75,-59,-40
0,1200,NA,NA,8.5,76,186
0,1200,NA,NA,2.08,-19,-19
0,1200,NA,NA,4.08,10,-7
0,1200,3,5,11.25,45,NA
1,1200,5,6,26.33,157,161
0,1200,5,6,0.83,563,829
0,1200,4,9,17.75,-95,43
0,1200,7,4,11.41,-69,-69
0,1200,NA,NA,3.41,-16,NA
0,1200,4,9,19.66,-97,-10
0,1200,5,1,18.33,721,NA
0,1200,2,1,0.66,-24,-47
0,1200,7,3,0.58,-16,13
0,1300,6,3,1.58,-76,10
0,1200,NA,NA,4,-50,NA
0,1200,NA,NA,2.25,-36,NA
0,1200,7,2,0.16,417,416
0,1100,NA,NA,17.08,-184,-53
0,1300,2,6,6.25,75,-28
0,1200,NA,NA,7,135,96
0,1200,3,4,6.25,206,NA
0,1300,4,8,5.08,-15,-26
0,1200,NA,8,18.5,109,90
0,1200,5,8,5.25,59,69
0,1200,3,9,13.5,-34,-73
0,1300,1,NA,2.75,-32,-39
0,1300,NA,NA,18.33,95,164
0,1200,4,4,27.08,609,629
0,1200,4,6,1.75,-7,-24
0,1200,4,6,13.33,-211,45
0,1100,1,4,2.5,-150,-32
0,1200,NA,NA,1.66,-9,NA
0,1200,5,4,29.66,92,14
0,1200,5,8,21.41,193,103
0,1200,7,9,3.25,367,227
0,1200,7,6,10.66,244,28
0,1200,4,4,7.08,-111,-84
0,1200,2,2,7.25,-3,80
0,1100,2,1,5.41,245,187
0,1200,2,1,4.25,-15,NA
0,1300,7,1,30.91,-76,-68
1,1200,4,9,5.58,490,532
0,1300,NA,NA,5.66,-2,-21
0,1200,NA,NA,13.41,-27,NA
0,1200,6,6,9.83,19,154
0,1200,NA,NA,3.5,326,-80
0,1200,7,6,6.5,117,1611
0,1200,7,3,10.58,755,1363
0,1200,2,1,14.91,0,6
0,1200,NA,NA,1.58,23,-18
0,1200,6,8,9,-60,-60
0,1200,NA,NA,1.08,15,NA
0,1200,5,5,5.16,-23,11
0,1200,4,3,18.16,-26,73
1,1200,1,6,11,24,13
1,1200,3,6,9.83,-16,NA
0,1300,2,9,4.16,184,71
1,1200,3,8,21.08,321,396
0,1100,3,5,9.66,-8,-70
0,1200,NA,NA,3.66,-40,-43
0,1200,4,9,24.75,-127,-282
0,1200,6,3,26.58,125,174
0,1300,3,5,6.08,84,47
0,1200,7,6,3.83,-29,NA
0,1200,2,2,4.16,-37,10
1,1200,4,6,12.91,-94,36
0,1200,4,6,23.66,63,-32
0,1200,NA,NA,2.33,15,14
0,1200,NA,3,4.33,-34,-34
0,1200,6,3,26.83,49,-52
0,1200,5,7,35.08,24,123
0,1200,3,9,5.66,672,17
0,1200,NA,NA,3.41,-25,-19
0,1200,4,6,6.58,135,1337
0,1200,4,8,24.91,-38,-53
0,1200,NA,NA,21.16,4,NA
0,1200,NA,NA,17,-33,NA
0,1200,NA,NA,24.08,-40,NA
0,1300,3,8,4.66,107,48
1,1200,NA,NA,16.5,89,NA
0,1200,NA,NA,5.58,-25,NA
0,1200,NA,NA,12.91,-84,NA
0,1200,2,6,1.58,35,69
0,1300,NA,NA,2.58,-22,NA
0,1100,7,9,11.08,-25,-32
0,1300,NA,NA,10.41,80,178
0,1100,4,2,7.16,254,23
1,1200,4,9,16.16,460,355
0,1200,4,6,7,12,-62
0,1200,NA,NA,0.5,73,114
0,1100,3,1,3.83,92,128
0,1200,3,6,5.16,-48,1
0,1200,4,9,5.16,551,229
0,1100,4,4,6.58,-22,-22
0,1200,2,8,8.33,292,252
0,1200,4,6,6.5,-24,-210
0,1200,5,7,4.91,-9,-13
0,1200,NA,NA,16.58,151,144
0,1200,NA,NA,7.66,-65,-80
0,1200,7,5,12.16,-25,-24
0,1200,NA,NA,4.91,-47,-22
0,1300,1,1,0.83,237,153
1,1200,4,6,4.16,-26,NA
0,1200,3,4,1.58,-45,-20
0,1200,NA,NA,27.83,-5,-19
0,1200,2,9,4.75,372,530
0,1200,4,9,2.41,686,847
0,1200,4,6,14.08,-120,45
0,1200,3,7,2.41,479,377
0,1300,NA,NA,1.5,29,133
0,1200,7,9,1.66,-40,6
0,1200,2,4,4.91,-95,-141
0,1200,5,3,18.58,-61,-61
0,1200,4,9,32.5,-103,20
0,1300,3,8,7.91,48,48
1,1200,NA,NA,4.58,1276,202
0,1200,NA,NA,15.5,-165,-166
1,1200,5,5,21.91,1003,1405
0,1200,3,3,4.33,-20,-17
0,1200,3,9,17.08,272,301
0,1200,4,7,27.25,378,194
0,1300,NA,NA,1.58,-37,-34
0,1200,4,6,0.5,-31,-38
0,1100,3,3,6.66,-61,-128
0,1200,6,6,0.5,-33,-31
0,1200,3,3,1.5,-37,-64
0,1200,5,9,9.83,572,722
0,1200,3,7,5.41,112,NA
1,1200,5,7,5.5,-35,-1
0,1200,NA,NA,10.83,1227,NA
0,1300,NA,NA,23.25,-133,NA
1,1200,3,7,17.5,210,589
0,1200,4,7,10.75,195,198
0,1200,NA,NA,12.5,-36,-35
0,1300,1,NA,4.16,1,-9
0,1200,NA,NA,10.41,51,-95
0,1200,NA,NA,40.66,1052,104
0,1200,5,6,18.58,-41,-66
0,1200,4,5,13.5,1,NA
0,1200,4,9,13.66,210,265
1,1200,3,5,5.58,152,269
0,1200,7,6,11.58,223,102
1,1200,2,9,5.91,404,596
0,1300,4,6,3.41,-95,89
0,1300,NA,NA,12.41,161,175
0,1300,4,4,18.41,-181,-23
0,1300,2,6,6.91,486,134
1,1200,2,6,7.33,-6,-15
0,1200,3,8,13.91,-202,-226
0,1200,2,3,3.58,-30,-19
0,1200,3,6,4.83,295,164
0,1200,4,6,2.58,-24,374
0,1100,7,4,7.25,41,41
1,1200,4,7,29.33,-149,-146
0,1100,NA,NA,27.41,-131,NA
0,1300,7,4,2.83,416,602
1,1200,NA,NA,3.83,-43,-50
0,1200,4,5,9.66,430,39
0,1100,3,5,7.41,-149,41
0,1200,4,4,8.16,48,-7
0,1200,7,3,7.41,-6,10
0,1100,4,6,4.75,-51,-42
0,1200,NA,NA,4.33,-29,NA
0,1200,4,6,21.08,3,-83
0,1300,4,4,22.33,-52,11
0,1200,5,7,17.5,163,152
0,1200,3,6,19.33,-20,-94
0,1200,5,3,10.5,153,391
0,1200,NA,NA,9.83,-49,-31
0,1200,NA,NA,12.08,223,258
0,1200,6,4,15.08,503,474
0,1100,2,4,6.33,119,73
1,1200,3,7,9.66,480,318
0,1200,NA,1,2.5,-38,-36
0,1200,2,1,7.91,-1,-37
0,1200,NA,NA,6.75,-40,NA
0,1200,7,1,21.66,-70,-33
0,1200,3,9,10.33,552,-28
0,1200,5,9,15.66,109,123
0,1100,6,7,5.66,115,6
0,1200,3,5,4.75,-30,-38
0,1200,4,2,26,314,237
0,1200,6,9,19.16,285,259
1,1200,2,1,2.83,-7,13
0,1200,6,6,13.58,-66,-58
0,1100,NA,1,1.58,-56,-64
0,1200,4,8,7.41,392,824
0,1100,6,3,11.08,-112,-80
0,1300,NA,NA,8.33,-48,-43
0,1200,7,6,15.66,784,1146
0,1300,NA,NA,4.91,-59,NA
0,1200,7,1,30.08,1818,672
0,1100,4,1,3.08,33,83
0,1300,NA,NA,1.58,-21,-13
0,1200,NA,NA,17.25,8,NA
0,1200,4,6,5.91,457,914
0,1300,6,3,22.5,-79,-88
0,1200,1,2,7.33,138,NA
0,1100,NA,NA,10.83,129,417
0,1200,3,6,2.41,-27,-23
0,1300,2,4,6,141,197
0,1300,7,4,19.83,110,127
0,1200,6,7,27.66,107,-49
0,1200,NA,NA,17,-7,82
0,1200,3,5,6.83,94,80
0,1200,2,3,3.33,48,66
0,1100,4,1,5,-9,-4
1,1200,NA,NA,10.66,-39,-35
0,1200,NA,NA,2.08,-32,NA
0,1100,4,2,14.75,111,100
0,1300,5,9,5.25,381,799
0,1100,NA,NA,1.33,-30,NA
0,1200,2,6,6.66,-17,NA
0,1200,7,1,20,30,106
1,1200,2,4,8.33,442,102
0,1300,7,4,19.33,720,NA
0,1200,3,8,7,210,267
0,1100,NA,NA,33.83,-54,-44
0,1100,4,6,6.58,-2,NA
0,1300,6,NA,4.66,-29,NA
0,1200,NA,NA,3.91,-1,NA
0,1200,3,1,6.16,-3,-3
0,1200,7,6,12,-53,-54
0,1200,6,3,10.5,103,NA
0,1200,3,9,16.33,300,240
0,1200,7,9,0.91,146,108
0,1200,5,5,28,145,220
0,1200,NA,NA,9.66,-26,NA
0,1200,1,6,4.83,58,NA
0,1200,2,7,5.91,8,115
0,1300,NA,NA,1.66,380,NA
0,1300,NA,NA,4.33,-119,NA
0,1200,4,6,2.41,359,NA
0,1200,6,5,7.33,0,13
1,1200,5,6,11.25,-4,-53
0,1200,NA,NA,1,14,-7
0,1200,7,9,10.91,795,1024
0,1200,NA,6,22.33,-21,179
0,1300,6,4,6.83,-33,-36
1,1200,NA,NA,1.75,350,-22
1,1200,4,7,7.75,95,15
0,1200,NA,NA,37.41,677,NA
0,1200,7,6,7.58,6,-54
0,1100,2,1,10.5,-12,-21
0,1300,7,7,3.75,-3,-3
0,1200,7,3,18.25,61,NA
0,1200,7,6,19.25,-7,-18
0,1200,NA,NA,11.33,8,-27
0,1200,2,2,1.66,558,831
0,1200,NA,NA,4.66,194,102
0,1200,NA,NA,5.83,10,NA
0,1200,5,6,29.66,96,216
0,1200,3,6,10.33,258,207
1,1300,4,5,33.5,184,326
0,1200,7,1,10.41,-72,-6
0,1200,3,6,14.75,827,1248
0,1300,NA,NA,34.25,785,670
0,1300,4,3,30.91,-34,-105
0,1200,4,2,0.75,13,-8
0,1200,4,6,19.41,-21,76
0,1200,NA,NA,7.58,-9,24
0,1200,3,5,6,127,109
0,1200,2,6,2.33,-29,-17
0,1200,2,4,9,297,-8
0,1300,NA,NA,0.5,14,-33
0,1200,7,4,13.33,-82,-77
0,1200,7,6,7.58,-34,NA
0,1200,6,5,11.41,99,111
0,1200,4,6,4.5,-145,-124
0,1100,NA,NA,1,-2,NA
0,1200,3,9,9.75,9,204
0,1200,4,8,18.58,76,43
0,1200,3,9,33.75,116,112
0,1200,NA,NA,3.16,116,NA
0,1200,4,9,11.25,-118,-124
0,1200,NA,NA,22.83,172,NA
0,1200,NA,NA,5.08,487,NA
1,1200,2,3,6.33,-22,1
0,1100,2,4,4.66,-48,-73
0,1300,3,5,4.08,147,NA
0,1200,5,9,1.66,49,64
0,1100,6,6,6.75,610,712
0,1200,NA,NA,12.83,523,NA
1,1200,NA,NA,4.58,125,-14
0,1200,3,6,7.16,205,NA
0,1200,4,9,3.91,922,797
0,1200,2,7,9.66,-78,-26
0,1300,6,2,3.33,222,87
0,1200,7,2,28.58,37,-55
0,1200,NA,NA,10.66,-72,NA
0,1200,NA,NA,8.58,63,408
0,1200,4,3,6.33,125,220
0,1200,6,8,11.5,-148,-133
0,1100,NA,NA,26.08,1364,46
0,1300,NA,NA,9.5,-28,NA
0,1200,NA,1,6,-35,40
0,1200,3,6,13.5,-33,NA
0,1200,3,8,3.33,17,-130
0,1200,7,9,4.91,107,63
0,1200,7,9,14.16,236,291
0,1200,4,9,5.66,124,454
0,1100,2,1,12.25,-31,-31
0,1100,NA,NA,2.66,-6,-31
0,1200,5,6,28.33,-18,-10
0,1300,4,5,1.66,-30,-30
0,1200,3,8,3.25,-3,-3
1,1200,NA,NA,22.08,-94,-86
0,1200,NA,NA,4.66,-32,43
0,1300,6,5,6.75,-26,-31
0,1200,NA,NA,3.66,-56,-24
0,1200,NA,NA,5.58,-31,-29
1,1200,4,6,2.08,257,-95
0,1100,7,3,5.08,275,268
0,1200,NA,NA,4.25,491,NA
0,1200,2,6,2.33,92,NA
0,1200,NA,NA,16.91,1362,1162
0,1200,6,6,3.91,226,280
0,1100,4,5,3.66,-58,-392
1,1200,NA,NA,3.83,377,NA
0,1200,6,6,33.41,10,-80
0,1200,3,5,5.5,-104,592
1,1200,6,5,0.66,51,297
0,1200,NA,NA,15.75,-59,NA
0,1300,4,7,18.41,10,102
0,1300,1,3,5.33,9,10
1,1200,5,6,14.08,-69,192
0,1200,NA,NA,5.75,11,NA
0,1200,4,5,4.25,-50,-109
0,1200,NA,NA,6.16,54,62
0,1200,2,8,4.41,379,465
0,1200,NA,NA,1.33,-56,NA
0,1300,NA,NA,7.25,0,-1
0,1200,NA,NA,22.41,105,135
0,1200,3,7,22.16,516,552
0,1200,5,1,13.08,531,527
0,1200,2,8,4.75,-113,-113
0,1200,6,2,25.41,767,647
0,1200,4,7,17.83,736,627
0,1200,3,8,1.25,120,704
0,1200,3,7,19.83,-28,-36
0,1300,NA,NA,11.5,-55,3
0,1100,3,5,5,152,129
0,1200,4,4,3.5,-4,-14
0,1200,NA,NA,1.41,-37,202
0,1200,NA,NA,3,-47,17
0,1200,4,3,17.91,-37,-10
0,1200,NA,NA,6.58,-39,NA
0,1200,3,NA,7.16,159,192
0,1200,2,6,4.58,82,294
0,1200,NA,NA,3.25,-56,-56
0,1300,3,6,10.41,-51,-63
1,1200,3,6,1.91,-98,NA
0,1200,6,4,31,1043,880
1,1200,3,5,0.83,1,0
0,1100,2,4,5.25,16,-44
0,1200,NA,NA,5,-29,128
0,1200,3,6,14.58,-89,-34
0,1200,7,2,18,-29,48
0,1200,3,6,1.41,44,88
0,1200,5,9,38.58,-36,-50
0,1200,3,8,0.66,348,312
0,1200,3,6,5.83,-18,-19
1,1100,5,6,6.91,-187,142
0,1200,5,9,13.41,1379,2576
0,1200,6,3,28.41,829,969
1,1100,7,6,16.41,-98,-36
0,1300,1,4,5,50,27
1,1200,2,6,2,-15,-2
0,1200,NA,NA,7.41,190,158
0,1200,NA,NA,1.25,-80,-90
0,1200,2,9,1.5,-10,388
1,1200,NA,NA,3.83,12,-32
0,1200,2,6,4.16,5,-26
0,1200,2,4,6.33,41,7
0,1200,3,9,8.41,48,128
0,1200,5,6,2.16,110,97
0,1100,4,7,3.66,-47,NA
0,1200,NA,NA,8.75,-83,-75
0,1300,5,5,25.25,-97,-100
0,1100,2,5,7.83,466,534
0,1100,NA,NA,2.25,-31,-31
0,1300,5,4,1.5,34,NA
0,1200,4,9,23.16,282,787
0,1200,4,7,7.91,-28,-56
0,1200,5,6,1.58,-89,-144
0,1200,5,7,16.25,-31,-32
0,1100,6,1,25.75,-26,-27
0,1100,5,6,18.08,165,189
0,1200,3,9,5.41,437,337
0,1100,7,4,21.08,331,535
1,1200,7,5,9.75,-125,-85
0,1200,3,3,5,881,951
0,1300,NA,NA,4.08,-4,NA
0,1300,NA,NA,17.66,-24,-17
0,1200,3,4,6.83,-46,-41
0,1200,5,1,0.83,-33,NA
0,1200,3,3,20,-51,-130
0,1200,4,4,3.83,-17,86
0,1300,NA,NA,1.41,248,NA
0,1200,3,6,3.91,-13,10
0,1100,2,4,12.41,-61,-96
0,1200,4,6,26.58,82,229
0,1300,5,5,21.5,469,424
1,1300,2,8,6.41,-123,-130
0,1200,6,5,30.83,76,64
0,1300,NA,NA,33.66,-4,21
1,1200,2,4,2.41,-64,-27
0,1200,3,7,19.08,212,291
0,1200,4,9,1,1230,651
0,1200,3,2,6.08,-31,-27
0,1200,6,7,6.91,273,186
0,1200,NA,NA,22.08,172,NA
0,1100,NA,NA,11.66,46,NA
1,1300,NA,NA,12.5,-73,-17
0,1200,1,1,15.83,-93,-46
0,1200,NA,NA,5.16,365,NA
0,1200,7,9,12.08,331,198
0,1100,NA,NA,7.58,-17,-7
0,1100,5,3,8.83,50,51
0,1200,6,7,31.75,702,677
0,1200,NA,NA,4.5,-33,-57
0,1100,NA,NA,3.41,-2,NA
0,1300,NA,NA,9.25,-34,559
0,1200,NA,NA,1.16,5,-32
0,1200,NA,NA,18,-77,-73
0,1200,3,9,4.75,349,273
0,1300,NA,NA,16.33,39,NA
0,1300,3,1,5.75,107,NA
0,1300,3,2,4,-31,168
0,1200,5,4,31,66,67
0,1200,NA,NA,1.58,-20,NA
0,1100,NA,NA,6.25,-30,NA
0,1200,6,8,30.25,189,345
0,1200,3,9,17.66,551,658
1,1200,NA,NA,2.16,306,229
0,1200,NA,NA,1,-21,NA
0,1200,NA,NA,1.91,17,-5
1,1200,2,6,3.08,-26,NA
0,1200,3,1,14.16,-45,-6
0,1200,2,4,4.66,-3,NA
0,1200,NA,NA,8.91,-184,NA
0,1300,NA,NA,6.75,-131,NA
0,1200,3,6,7.41,156,243
0,1200,NA,NA,8.08,10,429
0,1200,NA,NA,7.5,-33,NA
1,1200,NA,NA,7.08,151,354
0,1200,4,6,7.83,265,92
0,1200,5,6,27.33,140,187
0,1100,6,2,20.91,30,6
0,1300,NA,NA,0.33,3,NA
0,1100,4,1,7.33,-16,4
1,1200,3,6,7,39,-19
0,1200,5,7,18.58,499,640
0,1200,2,NA,0.25,13,-34
0,1200,2,6,3.91,33,69
0,1200,NA,NA,3.91,-25,-112
0,1200,2,3,11.25,-108,-89
0,1200,5,4,7.58,90,163
0,1200,7,6,8.16,137,NA
0,1200,7,4,5.33,7,79
0,1200,NA,NA,4.83,-62,-31
0,1200,5,9,18.66,93,119
0,1100,5,6,2.5,8,5
0,1200,7,6,36.58,3,95
0,1200,7,7,7.66,-95,-95
0,1200,4,9,6.33,83,-3
0,1200,4,7,3.75,463,384
0,1200,5,7,2.91,800,595
0,1200,4,3,30.75,-56,71
1,1200,3,4,4.16,121,23
0,1200,NA,NA,4.08,65,18
1,1200,NA,NA,13.33,304,986
0,1200,NA,NA,27.08,197,-4
0,1200,4,5,12.83,-82,91
0,1200,NA,NA,25.08,-1,NA
0,1300,7,5,21.41,-140,-76
0,1200,6,3,21.66,249,82
1,1200,3,3,7.33,32,9
0,1200,5,6,1.33,-6,-4
0,1200,3,7,1.08,-23,-24
1,1200,4,5,30.08,-64,-34
0,1200,2,8,6.5,-21,NA
0,1100,NA,NA,1.91,-21,-49
0,1300,NA,NA,13.58,676,NA
0,1300,4,8,7.33,119,184
0,1300,NA,NA,1,-7,1
0,1200,NA,NA,2.91,16,39
0,1200,7,1,26.33,41,143
0,1200,4,9,23.25,165,86
0,1100,7,6,15.83,-3,11
0,1200,2,9,4.91,1,389
0,1200,4,9,18.91,281,355
0,1200,3,3,11.41,181,287
0,1100,4,6,0.91,-61,-9
0,1200,2,5,3.91,-15,92
1,1200,1,5,9.08,-59,-53
0,1200,NA,NA,2.33,-37,-31
0,1100,NA,NA,2.41,-21,NA
0,1300,3,3,2.25,-72,-115
1,1200,2,6,5.66,85,224
0,1200,NA,NA,21.91,-118,-129
0,1200,4,3,7.33,-32,-51
0,1200,3,4,8.16,1,15
0,1200,2,7,7.66,-30,84
0,1100,7,2,36,-45,-105
1,1200,4,3,0.58,55,-41
1,1200,2,1,7.58,-10,-49
0,1200,2,7,5.33,-74,-104
0,1200,2,7,4.5,-106,39
0,1100,2,4,4.91,-2,-2
